"","Year","Country","Region","Tariff.Rate","GDP.Billions","GDP.Growth.Rate","GDP.per.Capita","Unemployment","Public.Debt"
"1",2014-01-01,"United States","Americas",1.7,16799.7,1.878,53101.012,7.5,104.517
"2",2015-01-01,"United States","Americas",1.5,15684.75,2.211,49922.113,8.075,106.525
"3",2016-01-01,"United States","Americas",1.58,20494.05,2.857,62605.59,3.9,105.773
"4",2017-01-01,"United States","Americas",2.6,18569.1,2.4,57436.409,4.906,107.351
"5",2018-01-01,"United States","Americas",1.64,15094.025,1.735,48386.686,7.9,102.937
"6",2019-01-01,"United States","Americas",1.8,15094.025,1.735,48386.686,7.9,102.937
"7",2020-01-01,"United States","Americas",1.8,17418.925,2.389,54596.653,6.2,104.77
"8",2014-01-01,"Mexico","Americas",4.3,1842.563,1.063,15562.602,5,46.479
"9",2015-01-01,"Mexico","Americas",2.2,1758.896,3.947,15311.766,4.8,43.519
"10",2016-01-01,"Mexico","Americas",2.19,2569.806,1.994,20601.66,3.3,53.565
"11",2017-01-01,"Mexico","Americas",1.2,2315.654,2.5,18938.32,4.015,58.096
"12",2018-01-01,"Mexico","Americas",1.02,1661.64,3.967,14609.77,5.3,43.813
"13",2019-01-01,"Mexico","Americas",2.2,1661.64,3.967,14609.77,5.3,43.813
"14",2020-01-01,"Mexico","Americas",2.2,2140.564,2.125,17880.512,4.9,50.084
"15",2014-01-01,"Canada","Americas",1.6,1526.079,2.009,43471.726,7.1,89.119
"16",2015-01-01,"Canada","Americas",0.8,1488.311,1.837,42734.362,7.292,85.641
"17",2016-01-01,"Canada","Americas",0.86,1836.816,1.834,49651.18,5.9,90.63
"18",2017-01-01,"Canada","Americas",1.5,1682.364,1.2,46437.158,7.073,92.327
"19",2018-01-01,"Canada","Americas",0.96,1396.131,2.46,40541.093,7.4,84.953
"20",2019-01-01,"Canada","Americas",0.9,1396.131,2.46,40541.093,7.4,84.953
"21",2020-01-01,"Canada","Americas",0.9,1591.58,2.532,44843.442,6.9,86.515
"22",2014-01-01,"China","Asia-Pacific",3.5,13395.396,7.671,9844.031,4.6,22.397
"23",2015-01-01,"China","Asia-Pacific",4.1,12405.67,7.8,9161.967,4.1,22.849
"24",2016-01-01,"China","Asia-Pacific",4.1,25270.066,6.567,18109.81,4.4,50.463
"25",2017-01-01,"China","Asia-Pacific",3.8,21291.766,6.9,15398.576,4.605,46.231
"26",2018-01-01,"China","Asia-Pacific",3.41,11299.967,9.237,8382.014,6.5,25.843
"27",2019-01-01,"China","Asia-Pacific",4,11299.967,9.237,8382.014,6.5,25.843
"28",2020-01-01,"China","Asia-Pacific",4,17617.321,7.364,12879.853,4.7,41.061
"29",2014-01-01,"Georgia","Europe",0.7,27.552,3.234,6144.836,14.3,31.789
"30",2015-01-01,"Georgia","Europe",0.7,26.67,6.547,5929.746,14.581,32.738
"31",2016-01-01,"Georgia","Europe",0.72,42.606,4.708,11485.44,14.1,44.543
"32",2017-01-01,"Georgia","Europe",0.7,37.174,2.8,10043.768,11.577,44.894
"33",2018-01-01,"Georgia","Europe",0.3,24.541,6.953,5491.091,16.3,33.879
"34",2019-01-01,"Georgia","Europe",0.4,24.541,6.953,5491.091,16.3,33.879
"35",2020-01-01,"Georgia","Europe",0.4,34.209,4.734,7653.026,13.4,35.088
"36",2014-01-01,"Switzerland","Europe",1.3,371.568,1.963,46430.132,4.4,49.427
"37",2015-01-01,"Switzerland","Europe",0,363.421,0.98,45417.809,2.904,49.099
"38",2016-01-01,"Switzerland","Europe",0,548.483,2.531,64649.06,4.9,40.508
"39",2017-01-01,"Switzerland","Europe",1.7,495.962,0.9,59560.695,4.583,45.388
"40",2018-01-01,"Switzerland","Europe",0,339.89,1.851,43369.711,4.2,48.645
"41",2019-01-01,"Switzerland","Europe",0,339.89,1.851,43369.711,4.2,48.645
"42",2020-01-01,"Switzerland","Europe",0,472.83,1.993,58087.211,4.5,46.093
"43",2014-01-01,"Singapore","Asia-Pacific",0.1,348.7,4.075,64583.631,3.1,103.764
"44",2015-01-01,"Singapore","Asia-Pacific",0,326.506,1.319,60409.977,1.95,111.017
"45",2016-01-01,"Singapore","Asia-Pacific",0,565.811,3.231,100344.68,3.8,108.341
"46",2017-01-01,"Singapore","Asia-Pacific",0.1,492.631,2,87855.383,1.829,112.028
"47",2018-01-01,"Singapore","Asia-Pacific",0,314.911,4.889,59711.239,2,100.792
"48",2019-01-01,"Singapore","Asia-Pacific",0,314.911,4.889,59711.239,2,100.792
"49",2020-01-01,"Singapore","Asia-Pacific",0,452.686,2.918,82762.146,3,98.751
"50",2014-01-01,"Macau","Asia-Pacific",0,NA,NA,NA,1.8,NA
"51",2015-01-01,"Macau","Asia-Pacific",0,43.6,9.9,78275,1.9,NA
"52",2016-01-01,"Macau","Asia-Pacific",0,77.334,4.7,116807.87,2,0
"53",2017-01-01,"Macau","Asia-Pacific",0,62.569,-20.3,95150.537,2.725,0
"54",2018-01-01,"Macau","Asia-Pacific",0,28.7,26.4,48923,2.9,0
"55",2019-01-01,"Macau","Asia-Pacific",0,28.7,26.4,48923,2.9,0
"56",2020-01-01,"Macau","Asia-Pacific",0,80.8,-0.4,139220,NA,0
"57",2014-01-01,"Maldives","Asia-Pacific",11.2,3.086,3.742,9172.677,11.7,80.735
"58",2015-01-01,"Maldives","Asia-Pacific",21.1,3.056,3.498,9234.852,28,77.486
"59",2016-01-01,"Maldives","Asia-Pacific",20.6,7.956,6.992,21759.91,6.1,61.469
"60",2017-01-01,"Maldives","Asia-Pacific",12,5.501,1.9,15553.004,3.234,81.511
"61",2018-01-01,"Maldives","Asia-Pacific",20.8,2.841,7.42,8731.249,14.5,69.1
"62",2019-01-01,"Maldives","Asia-Pacific",20.6,2.841,7.42,8731.249,14.5,69.1
"63",2020-01-01,"Maldives","Asia-Pacific",20.6,4.92,5.022,14383.263,11.6,74.839
"64",2014-01-01,"Kiribati","Asia-Pacific",15.9,0.699,2.9,6391.01,NA,NA
"65",2015-01-01,"Kiribati","Asia-Pacific",17.3,0.626,2.5,5973.053,2,NA
"66",2016-01-01,"Kiribati","Asia-Pacific",17.3,0.24,2.256,2085.57,30.6,21.888
"67",2017-01-01,"Kiribati","Asia-Pacific",28.1,0.212,4.2,1823.321,NA,26.841
"68",2018-01-01,"Kiribati","Asia-Pacific",15.9,0.599,1.8,5721.562,NA,10
"69",2019-01-01,"Kiribati","Asia-Pacific",17.3,0.599,1.8,5721.562,NA,10
"70",2020-01-01,"Kiribati","Asia-Pacific",17.3,0.188,3.802,1713.218,NA,7.993
"71",2014-01-01,"Iran","Middle East / North Africa",15.2,945.518,-1.665,12264.078,13.2,10.628
"72",2015-01-01,"Iran","Middle East / North Africa",21.8,999.199,-1.875,13127.135,12.47,10.726
"73",2016-01-01,"Iran","Middle East / North Africa",21.8,1610.677,-3.928,19556.55,12,33.184
"74",2017-01-01,"Iran","Middle East / North Africa",15.2,1454.517,0,18077.472,11.269,35.001
"75",2018-01-01,"Iran","Middle East / North Africa",15.23,990.219,1.978,13053.422,15.3,12.697
"76",2019-01-01,"Iran","Middle East / North Africa",19.6,990.219,1.978,13053.422,15.3,12.697
"77",2020-01-01,"Iran","Middle East / North Africa",19.6,1334.32,2.973,17113.564,12.8,12.166
